backend,threads,tile_out_width,c,h,w,k,fh,fw,stride,pad,out_h,out_w,mean_ms,std_ms,workspace_bytes,workspace_mib,max_abs_diff_vs_im2col,checksum,sweep,problem_name
im2col,1,0,32,32,32,64,3,3,1,1,32,32,2.687458,0.036131,1179648,1.125,0.0,-3036.001009,size,scale-32
dietconv-v1,1,32,32,32,32,64,3,3,1,1,32,32,0.326694,0.005646,25344,0.02417,5.3e-05,-3036.001881,size,scale-32
dietconv-v2,1,32,32,32,32,64,3,3,1,1,32,32,0.258736,0.011493,25344,0.02417,5.3e-05,-3036.001881,size,scale-32
im2col,1,0,32,48,48,64,3,3,1,1,48,48,1.158083,0.023341,2654208,2.53125,0.0,-228.388662,size,scale-48
dietconv-v1,1,48,32,48,48,64,3,3,1,1,48,48,0.451208,0.022145,37632,0.035889,5.7e-05,-228.390694,size,scale-48
dietconv-v2,1,48,32,48,48,64,3,3,1,1,48,48,0.390486,0.019015,37632,0.035889,5.7e-05,-228.390694,size,scale-48
im2col,1,0,32,64,64,64,3,3,1,1,64,64,7.787973,0.037096,4718592,4.5,0.0,6700.456083,size,scale-64
dietconv-v1,1,64,32,64,64,64,3,3,1,1,64,64,0.576972,0.035448,49920,0.047607,6.1e-05,6700.460279,size,scale-64
dietconv-v2,1,64,32,64,64,64,3,3,1,1,64,64,0.574278,0.029898,49920,0.047607,6.1e-05,6700.460279,size,scale-64
im2col,1,0,32,96,96,64,3,3,1,1,96,96,12.432514,1.336724,10616832,10.125,0.0,-11029.818256,size,scale-96
dietconv-v1,1,96,32,96,96,64,3,3,1,1,96,96,1.258528,0.107762,74496,0.071045,5.7e-05,-11029.811046,size,scale-96
dietconv-v2,1,64,32,96,96,64,3,3,1,1,96,96,1.792903,0.061969,49920,0.047607,5.7e-05,-11029.811046,size,scale-96
im2col,1,0,32,128,128,64,3,3,1,1,128,128,33.160458,0.775914,18874368,18.0,0.0,-3378.220979,size,scale-128
dietconv-v1,1,128,32,128,128,64,3,3,1,1,128,128,2.951153,0.643309,99072,0.094482,6.1e-05,-3378.219664,size,scale-128
dietconv-v2,1,64,32,128,128,64,3,3,1,1,128,128,2.747125,0.129816,49920,0.047607,6.1e-05,-3378.219664,size,scale-128
im2col,1,0,32,160,160,64,3,3,1,1,160,160,30.058736,0.119161,29491200,28.125,0.0,-18756.633015,size,scale-160
dietconv-v1,1,160,32,160,160,64,3,3,1,1,160,160,2.783458,0.213377,123648,0.11792,6.1e-05,-18756.631666,size,scale-160
dietconv-v2,1,64,32,160,160,64,3,3,1,1,160,160,4.761222,0.199765,49920,0.047607,6.1e-05,-18756.631666,size,scale-160
