backend,threads,tile_out_width,c,h,w,k,fh,fw,stride,pad,out_h,out_w,mean_ms,std_ms,workspace_bytes,workspace_mib,max_abs_diff_vs_im2col,checksum,implementation,problem_name,mode
dietconv-v2,1,8,32,64,64,64,3,3,1,1,64,64,2.2315,0.203745,3840,0.003662,6.1e-05,-4234.956793,cpp,scale-64,fixed
dietconv-v2,1,16,32,64,64,64,3,3,1,1,64,64,0.924403,0.0481,6912,0.006592,5.7e-05,-4234.958702,cpp,scale-64,fixed
dietconv-v2,1,24,32,64,64,64,3,3,1,1,64,64,1.631209,0.493428,9984,0.009521,6.1e-05,-4234.956966,cpp,scale-64,fixed
dietconv-v2,1,32,32,64,64,64,3,3,1,1,64,64,0.643402,0.053563,13056,0.012451,5.7e-05,-4234.958702,cpp,scale-64,fixed
dietconv-v2,1,48,32,64,64,64,3,3,1,1,64,64,0.938431,0.187857,19200,0.018311,5.7e-05,-4234.958702,cpp,scale-64,fixed
dietconv-v2,1,64,32,64,64,64,3,3,1,1,64,64,0.559292,0.028478,25344,0.02417,5.7e-05,-4234.958702,cpp,scale-64,autotuned
dietconv-v2,1,64,32,64,64,64,3,3,1,1,64,64,0.540667,0.041127,25344,0.02417,5.7e-05,-4234.958702,cpp,scale-64,fixed
dietconv-v2,1,64,32,64,64,64,3,3,1,1,64,64,0.79157,0.144134,25344,0.02417,5.7e-05,-4234.958702,cpp,scale-64,fixed
dietconv-v2,1,8,32,96,96,64,3,3,1,1,96,96,7.853986,1.068258,3840,0.003662,6.1e-05,-14332.882042,cpp,scale-96,fixed
dietconv-v2,1,16,32,96,96,64,3,3,1,1,96,96,5.119486,0.942223,6912,0.006592,6.9e-05,-14332.883877,cpp,scale-96,fixed
dietconv-v2,1,24,32,96,96,64,3,3,1,1,96,96,2.675403,0.240739,9984,0.009521,6.1e-05,-14332.882042,cpp,scale-96,fixed
dietconv-v2,1,32,32,96,96,64,3,3,1,1,96,96,1.628917,0.171498,13056,0.012451,6.9e-05,-14332.883877,cpp,scale-96,autotuned
dietconv-v2,1,48,32,96,96,64,3,3,1,1,96,96,1.360555,0.081653,19200,0.018311,6.9e-05,-14332.883877,cpp,scale-96,fixed
dietconv-v2,1,64,32,96,96,64,3,3,1,1,96,96,1.698569,0.337419,25344,0.02417,6.9e-05,-14332.883877,cpp,scale-96,fixed
dietconv-v2,1,96,32,96,96,64,3,3,1,1,96,96,1.1785,0.084435,37632,0.035889,6.9e-05,-14332.883877,cpp,scale-96,fixed
dietconv-v2,1,96,32,96,96,64,3,3,1,1,96,96,1.160458,0.073773,37632,0.035889,6.9e-05,-14332.883877,cpp,scale-96,fixed
dietconv-v2,1,8,3,227,227,96,11,11,4,0,55,55,13.111056,0.634944,6204,0.005917,6.9e-05,-16279.551097,cpp,alexnet-conv1,fixed
dietconv-v2,1,16,3,227,227,96,11,11,4,0,55,55,5.544694,0.567129,11484,0.010952,0.000114,-16279.553546,cpp,alexnet-conv1,fixed
dietconv-v2,1,24,3,227,227,96,11,11,4,0,55,55,5.300972,0.059403,16764,0.015987,6.9e-05,-16279.551097,cpp,alexnet-conv1,fixed
dietconv-v2,1,32,3,227,227,96,11,11,4,0,55,55,2.0495,0.225743,22044,0.021023,0.000114,-16279.554823,cpp,alexnet-conv1,fixed
dietconv-v2,1,48,3,227,227,96,11,11,4,0,55,55,4.555361,0.180808,32604,0.031094,0.000114,-16279.553546,cpp,alexnet-conv1,fixed
dietconv-v2,1,55,3,227,227,96,11,11,4,0,55,55,1.94393,0.111753,37224,0.0355,0.000114,-16279.554823,cpp,alexnet-conv1,autotuned
dietconv-v2,1,55,3,227,227,96,11,11,4,0,55,55,1.904431,0.055346,37224,0.0355,0.000114,-16279.554823,cpp,alexnet-conv1,fixed
dietconv-v2,1,55,3,227,227,96,11,11,4,0,55,55,2.590806,0.509529,37224,0.0355,0.000114,-16279.554823,cpp,alexnet-conv1,fixed
dietconv-v2,1,55,3,227,227,96,11,11,4,0,55,55,1.90425,0.085532,37224,0.0355,0.000114,-16279.554823,cpp,alexnet-conv1,fixed
