implementation,problem_name,threads,tile_out_width,mean_ms,std_ms,workspace_mib,max_abs_diff_vs_native,mode
torch,scale-64,1,8,2.2125693333334695,0.102002032085777,0.003662109375,5.7220458984375e-05,fixed
torch,scale-64,1,16,1.0837913333331766,0.0835237571006466,0.006591796875,5.340576171875e-05,fixed
torch,scale-64,1,24,1.1428333333333522,0.18570250439582695,0.009521484375,5.7220458984375e-05,fixed
torch,scale-64,1,32,0.8683193333330527,0.06279280120274887,0.012451171875,5.340576171875e-05,fixed
torch,scale-64,1,48,0.7482916666665673,0.03210038133037657,0.018310546875,5.340576171875e-05,fixed
torch,scale-64,1,64,0.5800556666664866,0.0790916674766906,0.024169921875,5.340576171875e-05,autotuned
torch,scale-64,1,96,0.6416386666669993,0.04520570262217682,0.024169921875,5.340576171875e-05,fixed
torch,scale-64,1,128,0.600680333333159,0.01797989266430722,0.024169921875,5.340576171875e-05,fixed
torch,scale-96,1,8,5.30181933333355,0.5861156892606825,0.003662109375,6.4849853515625e-05,fixed
torch,scale-96,1,16,2.644957999999716,0.22875507735723183,0.006591796875,6.866455078125e-05,fixed
torch,scale-96,1,24,2.2495276666667507,0.071827471747095,0.009521484375,6.4849853515625e-05,fixed
torch,scale-96,1,32,1.6230276666663694,0.14526666581703152,0.012451171875,6.866455078125e-05,fixed
torch,scale-96,1,48,2.2969996666661885,0.29111298061325686,0.018310546875,6.866455078125e-05,fixed
torch,scale-96,1,64,1.8634030000000597,0.32675552544789116,0.024169921875,6.866455078125e-05,fixed
torch,scale-96,1,96,1.4175970000002518,0.21474519007566756,0.035888671875,6.866455078125e-05,autotuned
torch,scale-96,1,128,1.4360553333337596,0.15526989174008796,0.035888671875,6.866455078125e-05,fixed
torch,alexnet-conv1,1,8,12.67675033333345,0.41919100188924785,0.004909515380859375,7.62939453125e-05,fixed
torch,alexnet-conv1,1,16,5.457888666666595,0.41246983075247345,0.008937835693359375,7.62939453125e-05,fixed
torch,alexnet-conv1,1,24,6.1264996666666365,0.5150724497318159,0.012966156005859375,7.62939453125e-05,fixed
torch,alexnet-conv1,1,32,2.643958333333233,0.39061589100541333,0.016994476318359375,7.62939453125e-05,fixed
torch,alexnet-conv1,1,48,7.395764000000267,2.9390026314454563,0.025051116943359375,7.62939453125e-05,fixed
torch,alexnet-conv1,1,55,2.273902666666494,0.09127749237468598,0.028575897216796875,7.62939453125e-05,autotuned
torch,alexnet-conv1,1,64,1.9699163333332474,0.03711882945675096,0.028575897216796875,7.62939453125e-05,fixed
torch,alexnet-conv1,1,96,2.02826333333365,0.07964750904796397,0.028575897216796875,7.62939453125e-05,fixed
torch,alexnet-conv1,1,128,2.934291666666885,1.0408761155919515,0.028575897216796875,7.62939453125e-05,fixed
